ObsID,StationName,Provider ID,Country code,StationLat,StationLon,Height,Height Units,DrainingArea.km2.Provider,Catchment Area Units,Added Date,River,Catchment,EC_Catchments,Calibration ID,DrainingArea.km2.LDD,LisfloodX,LisfloodY,RealTime,PostProcess,FixedRepPoint,HasWL,HasD,Alive D,StartDate_hist_24,EndDate_hist_24,StartDate_nrt_24,EndDate_nrt_24,StartDate_hist_6,EndDate_hist_6,StartDate_nrt_6,EndDate_nrt_6,DiffDays_hist_24,DiffDays_nrt_24,DiffDays_hist_6,DiffDays_nrt_6,cal_hist_24h,cal_nrt_24h,cal_hist_6h,cal_nrt_6h,CAL_TYPE,Notes,EC_calib,Dam/Lake,EnoughQdata,Val_Start,Val_End,Cal_Start,Cal_End,CatchmentArea,SamplingFrequency
380,Borgotaro,1016,IT,44.514057,9.84219,354,m,-,km2,18/09/2012 19:00,Taro,Po,Po,-,400,4307500,2377500,False,FALSE,True,1,0,1,21/09/2006 00:00,01/07/2008 00:00,09/05/2012 00:00,08/11/2017 00:00,20/09/2006 18:00,01/07/2008 00:00,08/05/2012 12:00,07/11/2017 12:00,649,2009,649,2009,False,True,False,True,NRT_6h,-,T,-,1.0,08/05/2012 12:00,02/01/2012 06:00,02/01/2009 06:00,07/11/2017 12:00,16.0,2.0
2733,Raskov Morava,1062,CZ,50.041111,16.912778,-,-,9809.42,km2,13/04/2018 06:41,Morava,"Morava, above March",Danube,-,425,4812500,3012500,False,-,True,0,1,0,02/11/1993 00:00,01/11/2002 00:00,-,-,-,-,-,-,3286,-,-,-,True,False,False,False,HIST_24h,Wrong area from provider,T,-,1.0,02/11/1993 00:00,02/01/1998 06:00,02/01/1995 06:00,01/11/2002 00:00,17.0,1.0
2730,Bejanovo ,1062,BG,43.2331,24.4089,-,-,3323.31,km2,13/04/2018 06:41,Kamenka,Vit,Danube,-,450,5487500,2347500,False,-,True,0,1,0,02/01/1991 00:00,01/01/2004 00:00,-,-,-,-,-,-,4747,-,-,-,True,False,False,False,HIST_24h,moved on affluent,T,-,1.0,02/01/1991 00:00,02/01/1997 06:00,02/01/1994 06:00,01/01/2004 00:00,18.0,1.0
1976,KEMPTEN,1062,DE,47.73,10.31,-,-,955,km2,19/03/2018 16:00,Iller,Danube,Danube,C356,950,4347500,2732500,False,-,True,0,1,0,02/11/1900 00:00,01/01/2009 00:00,-,-,-,-,-,-,39507,-,-,-,True,False,False,False,HIST_24h,-,T,-,1.0,03/01/1990 00:00,02/01/1999 06:00,02/01/1996 06:00,01/01/2009 00:00,38.0,2.0
2910,VILLAFRANCA PELLICE,1062,IT,44.79393416,7.495516929,-,-,998,km2,08/06/2018 11:14,Pellice,Po,Po,C685,1000,4122500,2412500,False,-,True,0,0,0,02/01/2002 00:00,01/01/2009 00:00,-,-,-,-,-,-,2556,-,-,-,True,False,False,False,HIST_24h,-,T,-,1.0,02/01/2002 00:00,02/01/2004 06:00,02/01/2001 06:00,01/01/2009 00:00,40.0,2.0
287,Chmelnica,1018,SK,49.28917681,20.7301459,507.37,m,1262.41,km2,20/09/2012 19:00,Poprad,Vistula,Vistula,-,1325,5097500,2967500,True,TRUE,True,1,1,1,02/11/1930 00:00,01/01/2017 00:00,27/03/2012 00:00,31/08/2018 00:00,01/01/2002 06:00,01/01/2017 00:00,26/03/2012 18:00,30/08/2018 06:00,31472,2348,5478,2347,True,True,True,True,HIST_6h,-,T,-,1.0,01/01/2002 06:00,02/01/2002 06:00,02/01/1999 06:00,01/01/2017 00:00,53.0,2.0
2824,Fossano,1062,IT,44.52795852,7.695741194,-,-,1850,km2,08/06/2018 11:14,Stura Demonte,Po,Po,C472,1400,4142500,2387500,False,-,True,0,0,0,02/01/2000 00:00,31/12/2008 00:00,-,-,-,-,-,-,3286,-,-,-,True,False,False,False,HIST_24h,-,T,-,1.0,02/01/2000 00:00,02/01/2004 06:00,02/01/2001 06:00,31/12/2008 00:00,56.0,2.0
428,San Secondo,1016,IT,44.916891,10.254303,42,m,-,km2,18/09/2012 19:00,Taro,Po,Po,-,1450,4342500,2422500,False,FALSE,True,1,0,1,-,-,12/06/2012 00:00,08/11/2017 00:00,-,-,11/06/2012 18:00,07/11/2017 12:00,-,1975,-,1974,False,True,False,True,NRT_6h,-,T,-,1.0,11/06/2012 18:00,02/01/2012 06:00,02/01/2009 06:00,07/11/2017 12:00,58.0,1.0
2822,Farigliano,1062,IT,44.48688901,7.885693666,-,-,1150,km2,08/06/2018 11:14,Tanaro,Po,Po,C466,1450,4152500,2372500,False,-,True,0,0,0,02/01/2003 00:00,31/12/2008 00:00,-,-,-,-,-,-,2190,-,-,-,True,False,False,False,HIST_24h,-,T,-,1.0,02/01/2003 00:00,02/01/2004 06:00,02/01/2001 06:00,31/12/2008 00:00,58.0,2.0
892,Wiblingen,1025,DE,48.3708,9.9874,46824,cm,2040.21,km2,18/09/2012 19:00,Iller,Danube,Danube,C053,2300,4322500,2802500,True,FALSE,True,1,1,1,02/01/1991 00:00,01/01/2007 00:00,14/01/2013 00:00,31/08/2018 00:00,-,-,14/01/2013 00:00,30/08/2018 12:00,5843,2055,-,2054,True,True,False,True,NRT_6h,-,T,-,1.0,14/01/2013 00:00,02/01/2013 06:00,02/01/2010 06:00,31/12/2017 06:00,92.0,1.0
